,allele1_PLA_Count_1,allele1_PLA_Count_2,allele1_PLA_Count_3,allele1_PLA_Count_4,allele1_PLA_Count_5,allele1_PLA_Count_6,allele1_PLA_Count_7,allele1_PLA_Count_8,allele1_PLA_Count_9,allele1_PLA_Count_10,allele2_PLA_Count_1,allele2_PLA_Count_2,allele2_PLA_Count_3,allele2_PLA_Count_4,allele2_PLA_Count_5,allele2_PLA_Count_6,allele2_PLA_Count_7,allele2_PLA_Count_8,allele2_PLA_Count_9,allele2_PLA_Count_10
60,139,1400,96,511,372,0,0,0,0,0,211,189,95,149,189,301,228,86,0,0
61,2651,2681,764,266,1894,2225,2376,2991,0,0,4785,1429,1147,1595,1362,3633,395,1703,0,0
62,530,627,193,519,337,851,178,291,0,0,113,80,360,120,10,804,523,13,610,0
63,48,58,0,0,0,0,0,0,0,0,89,14,0,0,0,0,0,0,0,0
64,15,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0
65,118,10,268,244,1123,387,33,13,204,0,40,193,136,47,52,136,98,177,0,0
66,1920,288,54,444,198,816,101,0,0,0,405,446,663,199,374,505,412,701,554,0
67,292,289,68,230,268,49,435,22,0,0,6658,442,192,87,245,106,218,256,0,0
68,12,45,19,24,19,0,0,0,0,0,117,190,27,33,27,11,0,0,0,0
69,153,116,40,71,33,15,36,107,0,0,74,23,58,34,134,112,391,0,0,0
70,1029,149,591,304,354,522,417,645,376,0,1106,917,642,250,606,2016,857,701,0,0
71,250,405,125,218,323,161,136,501,477,0,932,260,775,411,503,333,427,499,0,0
72,1057,610,1244,2073,1056,748,872,0,0,0,395,1094,570,2765,899,4402,3831,874,1727,0
73,777,11,68,287,198,251,199,143,0,0,84,436,168,144,597,96,378,0,0,0
74,109,72,24,336,22,865,0,0,0,0,336,94,56,73,394,158,26,0,0,0
75,174,833,1213,1006,630,558,1247,1765,971,500,1376,508,471,464,878,868,770,315,1381,0
76,115,170,64,424,44,209,160,853,252,0,783,42,116,144,184,407,83,402,91,0
77,91,82,33,17,265,31,89,102,58,0,121,92,164,33,283,153,263,135,0,0
78,146,395,264,158,143,337,370,0,0,0,138,270,462,337,87,217,332,0,0,0
79,817,28,1237,1642,669,772,1631,0,0,0,249,520,1107,816,1063,471,183,1737,1057,0
80,1899,319,2115,2579,3962,833,1867,1690,0,0,3362,2506,4068,360,3101,2183,3798,753,568,0
81,980,271,121,61,31,531,143,0,0,0,253,64,167,14,20,153,0,0,0,0
82,345,50,464,223,511,304,0,0,0,0,53,905,114,440,61,1303,415,2222,2162,0
83,661,443,583,113,982,75,70,200,348,0,518,518,659,289,412,193,367,715,0,0
84,1974,1278,152,308,268,979,776,195,1682,0,872,836,364,1737,854,318,311,197,1271,0
85,553,1815,901,2022,162,581,96,0,0,0,872,456,618,220,407,117,473,398,0,0
86,670,1375,2012,2078,1162,985,275,1769,0,0,1469,1027,830,1339,752,1493,1501,667,3343,0
87,357,296,684,1662,484,543,393,0,0,0,527,224,2740,1381,133,236,1387,547,665,0
88,602,483,151,213,372,378,1007,137,303,0,1299,474,256,385,232,284,364,0,0,0
89,2052,251,676,221,92,1325,22,343,733,0,232,585,446,325,45,157,701,722,0,0
90,660,1827,634,163,1155,675,2477,1548,5486,0,1333,1120,1829,1532,1447,700,5007,668,0,0
91,98,168,80,37,61,25,44,0,0,0,24,288,4546,113,41,0,0,0,0,0
92,175,109,25,41,276,60,63,240,275,0,187,54,115,51,57,200,181,288,120,0
93,186,1977,1404,1636,1563,888,619,0,0,0,822,828,1953,2834,771,1627,854,906,276,0
94,543,2804,2575,2148,192,708,1341,2052,0,0,1453,1044,1646,1189,986,3792,1141,1268,0,0
95,1963,1279,651,2600,307,2127,3155,218,245,0,1407,1461,816,1042,857,2712,865,476,535,0
96,117,667,1201,374,712,1040,184,382,619,0,4329,654,1399,3364,674,2348,1061,1829,26,0
97,4443,3018,7721,3800,6508,1527,1149,2137,2220,0,3255,5781,4165,944,6070,4987,5558,5976,0,0
98,1508,101,1227,1000,1478,1372,1838,2748,810,0,782,566,704,1065,1134,1598,1138,491,804,0
99,93,2342,856,822,2548,1501,3402,171,1621,0,493,1837,1060,1519,745,2839,2034,1587,0,0
100,926,2198,243,444,365,1771,942,957,0,0,1098,1707,712,1070,1110,1280,437,534,0,0
101,340,559,1162,305,516,205,600,327,0,0,443,220,371,126,676,779,393,248,900,0
102,1090,591,3079,1247,825,188,1831,1458,2293,755,4394,2075,657,939,1801,3293,527,1298,897,0
103,2275,1358,2561,2397,1646,512,1348,2446,0,0,2345,2750,2849,1078,1678,1341,2070,1127,0,0
104,2870,3544,3720,2888,2647,1948,3422,0,0,0,2602,4245,628,3215,3467,5127,4543,2107,3216,0
105,685,818,407,2333,1583,731,635,1462,661,0,261,476,254,896,504,136,459,0,0,0
106,2524,1423,3912,6045,10613,2570,4850,0,0,0,2071,2113,3493,3521,4743,1396,1199,2056,6870,0
107,369,952,3086,1359,2273,2484,4492,5178,3519,0,1801,1943,1764,854,210,2263,507,2463,2113,0
108,281,713,514,1183,789,375,1486,96,0,0,35,487,415,247,357,153,213,245,0,0
109,1580,1031,1567,8204,1625,1643,2407,1712,906,0,1145,1679,1691,117,2751,510,1210,2085,1065,0
110,779,383,203,207,468,425,98,503,379,0,77,697,670,912,38,303,211,288,0,0
111,1451,2040,7581,1520,2167,1771,1169,1543,2963,0,2906,2190,2502,1886,2460,2050,8093,4713,7369,0
112,99,153,51,42,105,0,0,0,0,0,297,320,140,105,19,220,138,0,0,0
113,1273,1185,1050,4890,4258,2865,1130,5567,0,0,1022,2207,1040,2396,3006,4658,2237,1671,0,0
114,623,147,791,146,1565,1225,261,2028,1023,0,224,27,1093,988,1199,573,611,517,700,0
115,1999,2674,4391,4851,1172,1108,362,1088,1696,0,1688,964,1435,4302,1114,1837,2982,1157,1681,0
116,586,218,219,280,192,94,413,0,0,0,365,511,322,764,282,581,308,115,0,0
117,2753,308,290,2455,1401,1232,1701,1169,0,0,871,2307,2200,1883,1907,2058,1777,2635,0,0
118,744,229,619,729,513,562,544,79,300,48,1133,1196,72,207,377,481,501,387,33,0
119,1952,356,1428,1787,2508,1017,1693,1195,0,0,968,1358,942,190,1713,5015,2021,1941,1443,0
120,197,267,735,226,333,400,470,0,0,0,472,223,701,73,500,190,80,48,55,0
121,198,307,381,330,391,418,288,554,591,0,39,434,716,464,97,293,0,0,0,0
122,1132,671,89,1940,260,1381,819,1087,819,0,1852,137,1239,2153,2374,652,469,2079,1182,41
123,3916,1642,3984,5782,3267,3530,3448,3269,0,0,7310,4051,8362,1954,11243,1651,8206,5117,1350,0
124,11,227,36,0,0,0,0,0,0,0,43,43,53,12,10,0,0,0,0,0
125,1953,6559,2013,5346,3879,1027,948,5589,3604,0,5063,1095,4252,3867,6401,2825,620,3523,0,0
126,340,514,1255,2963,1735,1186,1471,977,2383,0,1928,1532,2597,880,925,1008,1939,1025,0,0
127,993,427,290,1482,988,1095,568,2170,0,0,416,451,427,734,1430,1145,1303,739,0,0
128,192,882,2068,1182,586,1467,2174,380,0,0,255,247,1275,2218,315,1161,1157,695,0,0
129,2078,3141,4614,4077,4085,1945,5375,4373,7980,0,4618,645,3240,7914,3903,5871,5519,1491,0,0
130,722,614,168,261,688,258,316,836,259,0,246,432,1143,1412,667,1348,480,68,925,0
131,1593,2588,2262,1509,2873,1815,1804,2706,2468,0,2118,1334,707,1735,1811,2494,752,1264,3147,0
132,656,789,1375,1411,494,426,227,157,763,0,172,48,33,584,209,604,34,0,0,0
133,25,52,0,0,0,0,0,0,0,0,19,39,349,189,148,0,0,0,0,0
134,36,26,91,153,14,0,0,0,0,0,12,171,18,0,0,0,0,0,0,0
135,94,127,26,459,57,112,99,347,0,0,264,170,419,71,41,201,0,0,0,0
136,367,88,727,707,441,582,350,2045,0,0,390,451,283,1229,979,341,372,954,0,0
137,523,1426,2141,369,1014,1088,1508,983,4077,0,382,2697,2208,662,742,2482,1258,870,1630,0
138,1378,1014,1922,991,715,162,1120,353,792,0,109,197,52,658,670,52,69,41,447,531
139,351,675,456,1195,484,902,572,255,422,0,732,1371,432,2038,1012,970,1675,1027,0,0
140,1176,1503,2047,1533,539,585,580,1081,0,0,289,1118,505,170,439,1537,1275,1433,50,0
141,4362,3685,2182,3753,2411,842,3013,1340,1094,0,1285,855,1605,1376,1554,1371,253,1560,1256,0
142,90,50,196,105,16,125,100,137,156,0,217,132,28,75,84,0,0,0,0,0
143,1012,683,804,845,608,1444,760,1345,1183,0,956,659,465,1210,2014,267,940,0,0,0
144,993,641,1453,1133,380,1223,192,2197,1472,0,869,1361,1820,671,1620,2156,1190,1942,860,0
145,1647,2186,2538,3318,3351,482,2433,2680,779,0,3820,1934,1495,1005,2033,909,3487,1291,1903,0
146,404,356,198,711,563,777,76,169,629,0,229,240,727,243,257,831,351,175,0,0
147,2679,2170,2506,2566,2782,2265,2586,1849,2436,0,3195,671,1459,2070,1590,2923,3997,13,292,0
